1	A 44-year-old man with coffee-ground emesis, tachycardia, hypoxia, hypotension and cool, clammy extremities. diagnosis

title->	Emergency medicine ... - SlideShare
title->	Emergency medicine pre_test_self_assessment_and_review
title->	Upper GI Bleeding Mel Ona GI Fellow Lecture 8.9.13 FINAL.pptx on ...
title->	EMT Final Flashcards
title->	Final flashcards | Quizlet
title->	Med Surg Questions - Scribd
title->	Handbook for clinical management of dengue - World Health ...
title->	Get PDF (1317K) - Wiley Online Library
title->	Table of Contents
title->	Emergency Medical Education Emergency Medical Services ...
2	A 62-year-old immunosuppressed male with fever, cough and intranuclear inclusion bodies in bronchoalveolar lavage diagnosis

title->	Herpes simplex virus pneumonia: high-resolution CT findings
title->	Herpes simplex virus type 1 and respiratory disease in ...
title->	scientific competition questions & answers - AIMS Meeting
title->	Viral Pneumonia Clinical Presentation: History, Physical ...
title->	A 60 Year-Old Man with AIDS and Pneumonia - Tanaffos
title->	Micro 1 USMLE flashcards | Quizlet
title->	Bronchoalveolar lavage in children - European Respiratory ...
title->	Herpes simplex pneumonia in a young immunocompetent ...
title->	Pulmonary 2 Exam
title->	HSV pneumonia and endobronchial clusters of vesicles - QJM
3	A 65-year-old male presents with dyspnea, tachypnea, chest pain on inspiration, and swelling and pain in the right calf. diagnosis

title->	Emergency medicine pre_test_self_assessment_and_review
title->	Card EM flashcards | Quizlet
title->	Patho 303 Exam Review flashcards | Quizlet
title->	Primary Care -- AAFP flashcards | Quizlet
title->	SHORTHNESS OF BREATH
title->	Case in Point Archive - Single Sign On
title->	Pathology303 Flashcards - Cram.com
title->	AAFP Family Medicine Board Questions Flashcards - Cram.com
title->	STEP 2 General practice
title->	Pulmonary Embolism - The Merck Manuals
4	82-year-old woman awakened by acute stabbing chest pain, with ST-segment elevation, hypertension, sinus tachycardia, no diseases on coronary angiography and left ventricular dysfunction on ventriculography. diagnosis

title->	Emergency medicine pre_test_self_assessment_and_review
title->	Cardiac and non-cardiac causes of T-wave inversion in the ...
title->	Primary Care -- AAFP flashcards | Quizlet
title->	ACC/AHA/ACP-ASIM guidelines for the management of patients with ...
title->	ACC/AHA/ACP-ASIM guidelines for the ... - ScienceDirect
title->	mksap_15 - WorkLifeStudy
title->	Mayo Clinic Cardiology Board - Review Questions and Answers.pdf
title->	Case in Point Archive - Single Sign On
title->	Homo sapiens molecular nosology - Cardiovascular apparatus
title->	ACC/AHA Practice Guideline - Circulation
5	Young adult woman with 2 weeks of fever and migrating joint inflammation. diagnosis

title->	Questions and Answers About Reactive Arthritis
title->	Diagnostic Approach to Polyarticular Joint Pain - American ...
title->	4. Rheumatic Fever - Case Based Pediatrics Chapter
title->	Pain in Multiple Joints - The Merck Manuals
title->	Rheumatic fever - Medical Dictionary - The Free Dictionary
title->	Joint pain - Right Diagnosis
title->	Printout: Fever and Arthritis - Causes - Antimicrobe.org
title->	Rheumatoid Arthritis. Symptoms of Arthritis and ... - Patient
title->	Causes of Sudden Joint Pain | LIVESTRONG.COM
title->	Septic Arthritis
6	A 46-year-old woman with sweaty hands, exophthalmia, and weight loss despite increased eating. diagnosis

title->	Diagnosis and Management of Galactorrhea - American ...
title->	Case Study #20 - McGraw Hill Higher Education
title->	Hyperthyroidism - Medscape Reference
title->	When hormones go haywire, life can be hell | Daily Mail ...
title->	Case in Point Archive - Single Sign On
title->	1. ORGANOPHOSPHATE POISONING
title->	Sample questions from the NBME - School of Medicine
title->	4673-tests_for_english_speaking_students.doc
title->	Notes and Questions - Texas Tech University Health ...
title->	X. ENDOCRINOLOGY AND METABOLISM - Tripod
7	A 22-year-old female presents with changes in appetite and sleeping, fatigue, diminished ability to think or concentrate, anhedonia and feelings of guilt. diagnosis

title->	Unipolar versus Bipolar Depression
title->	Depression
title->	PsychTest2 flashcards | Quizlet
title->	Major Depressive Disorder - Internet Mental Health
title->	Classic Symptoms of Major Depression - Depression Resources ...
title->	14.6 MOOD DISORDERS: CLINICAL FEATURES ... - Brown University
title->	Background Paper 6.15 Depression - World Health Organization
title->	Older Adults with Severe, Treatment-Resistant Depression: “I got my ...
title->	[000001] BIPOLAR II DISORDER BIPOLAR I DISORDER ...
title->	15 Mood Disorders - Wolters Kluwer Health
8	A 10-year-old boy with difficulty concentrating, daytime sleepiness, and failure to thrive. The boy sleeps restlessly, snores, sweats, breathes heavily through his mouth and gasps in his sleep. diagnosis

title->	Childhood Sleep Apnea
title->	Child Snore | UCLA Sleep Disorders Center
